CustomerContactId;status code;status name;details;milliseconds spent
1243420;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22980 with a balance of 1200.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22980 with a balance of 1200.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8905"
1243707;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23103 with a balance of 300.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23103 with a balance of 300.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,6368"
1243718;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23108 with a balance of 548.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23108 with a balance of 548.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"7,8292"
1243723;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23112 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23112 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"31,6913"
1243734;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23118 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23118 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,8474"
1243737;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23119 with a balance of 1073.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23119 with a balance of 1073.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0257"
1243742;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23121 with a balance of 384.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23121 with a balance of 384.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,6442"
1243745;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23123 with a balance of 10302.40
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23123 with a balance of 10302.40
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"5,6161"
1243771;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23133 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23133 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0487"
1243780;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23136 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23136 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8627"
1243788;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23139 with a balance of 299.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23139 with a balance of 299.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,9579"
1243820;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 23148 with a balance of 384.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 23148 with a balance of 384.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,709"
